Experiment_Set,Run_Number,Iteration,p,e,Best_Fitness,Average_Fitness,Standard_Deviation
1,2,7500,100,0.9,1710.0,6138.11,1727.7877525610604
1,2,8000,100,0.9,2843.0,5979.17,1578.416890780126
1,2,8500,100,0.9,2332.0,6161.19,1587.7906643824304
1,2,9000,100,0.9,3076.0,5982.23,1473.7050780600573
1,2,9500,100,0.9,3110.0,6139.74,1566.1889006119281
1,2,10000,100,0.9,2619.0,6189.21,1495.8473337543505
1,3,0,100,0.9,2894.0,5948.8,1640.4789483562415
1,3,500,100,0.9,3648.0,6258.47,1353.7920774993477
1,3,1000,100,0.9,1543.0,6375.05,1778.6201639192107
1,3,1500,100,0.9,2915.0,6296.33,1622.87834451631
1,3,2000,100,0.9,2644.0,6199.6,1808.1633388607347
1,3,2500,100,0.9,2965.0,6214.67,1490.1897265449122
1,3,3000,100,0.9,2346.0,6305.82,1597.9086793681295
1,3,3500,100,0.9,3644.0,6079.36,1401.8549320097284
1,3,4000,100,0.9,2600.0,5886.46,1556.542787205029
1,3,4500,100,0.9,2591.0,6216.91,1592.6424463450671
1,3,5000,100,0.9,1921.0,6024.76,1557.2727963975997
1,3,5500,100,0.9,2690.0,6217.74,1703.3137739124875
1,3,6000,100,0.9,2198.0,6074.34,1667.0035586044803
1,3,6500,100,0.9,2566.0,6272.96,1700.2834229621835
1,3,7000,100,0.9,2741.0,6004.43,1738.1342770626209
1,3,7500,100,0.9,2842.0,6092.81,1385.9565699905609
1,3,8000,100,0.9,3080.0,6513.52,1583.845923567062
1,3,8500,100,0.9,2820.0,6131.46,1645.7450860932263
1,3,9000,100,0.9,2640.0,5995.07,1688.844819721457
1,3,9500,100,0.9,2858.0,6196.98,1558.2310225380572
1,3,10000,100,0.9,2496.0,6061.28,1809.6621512315496
1,4,0,100,0.9,3000.0,6274.24,1854.717644926041
1,4,500,100,0.9,3011.0,6388.76,1723.7792092956681
1,4,1000,100,0.9,2404.0,6079.32,1476.6663392926648
1,4,1500,100,0.9,2646.0,6149.04,1620.4941525349604
1,4,2000,100,0.9,2731.0,6099.9,1337.9555411148758
1,4,2500,100,0.9,2688.0,6062.68,1592.7239364058041
1,4,3000,100,0.9,2762.0,5972.99,1554.484837462238
1,4,3500,100,0.9,2654.0,6140.04,1434.808188713739
1,4,4000,100,0.9,2905.0,6165.78,1630.2870457683211
1,4,4500,100,0.9,2598.0,5889.1,1563.6341803631692
1,4,5000,100,0.9,2419.0,6323.19,1533.76404766183
1,4,5500,100,0.9,2092.0,6165.43,1650.1401471087236
1,4,6000,100,0.9,3304.0,6221.32,1399.715784579141
1,4,6500,100,0.9,3032.0,6192.99,1478.9486231441579
1,4,7000,100,0.9,2792.0,6210.56,1768.4391949965373
1,4,7500,100,0.9,3381.0,6206.48,1650.3681073021255
1,4,8000,100,0.9,3129.0,6322.43,1509.6214045581098
1,4,8500,100,0.9,2459.0,6347.74,1529.2345053653478
1,4,9000,100,0.9,2726.0,5997.88,1511.664918426038
1,4,9500,100,0.9,2928.0,6193.97,1284.290539208321
1,4,10000,100,0.9,2663.0,6196.62,1493.6320214832033
2,0,0,100,0.6,2542.0,6478.27,1532.6211786022013
2,0,500,100,0.6,3018.0,5989.48,1581.2417429349632
2,0,1000,100,0.6,1829.0,6192.69,1614.9094073352844
2,0,1500,100,0.6,2965.0,5964.76,1523.3072777348634
2,0,2000,100,0.6,2669.0,6147.22,1616.591021749162
2,0,2500,100,0.6,2396.0,5829.17,1409.1643768914967
2,0,3000,100,0.6,3075.0,6086.11,1558.753430758053
2,0,3500,100,0.6,2598.0,6086.65,1626.834247088498
2,0,4000,100,0.6,2940.0,6097.01,1706.3463335149752
2,0,4500,100,0.6,2835.0,6077.24,1306.7407632732668
2,0,5000,100,0.6,2970.0,6066.28,1570.730556651904
2,0,5500,100,0.6,2584.0,5996.92,1541.8772887619818
2,0,6000,100,0.6,3157.0,5868.86,1540.8509598270691
2,0,6500,100,0.6,3170.0,6172.85,1438.5138815805706
2,0,7000,100,0.6,2652.0,5964.24,1492.2045511256156
2,0,7500,100,0.6,2854.0,5791.28,1446.4898484261823
2,0,8000,100,0.6,2581.0,5715.42,1429.2064664001489
2,0,8500,100,0.6,2141.0,5635.05,1514.0312637128732
2,0,9000,100,0.6,2485.0,5775.72,1283.4022057017044
2,0,9500,100,0.6,2325.0,5839.76,1232.2311724672445
2,0,10000,100,0.6,1879.0,5653.04,1486.1111931480764
2,1,0,100,0.6,2634.0,6479.25,1570.9433049922586
2,1,500,100,0.6,2209.0,6254.62,1766.647960290901
2,1,1000,100,0.6,3197.0,6293.2,1344.5753827881872
2,1,1500,100,0.6,3042.0,6196.31,1623.8814038900748
2,1,2000,100,0.6,3163.0,6265.3,1468.1551110151815
2,1,2500,100,0.6,2956.0,6046.29,1540.3683799338392
2,1,3000,100,0.6,3456.0,5770.28,1478.7353926920123
2,1,3500,100,0.6,2277.0,6009.52,1624.3024501612992
2,1,4000,100,0.6,3304.0,6250.91,1605.1535134995654
2,1,4500,100,0.6,2838.0,6058.92,1560.1995685167972
2,1,5000,100,0.6,2301.0,5866.48,1773.3614886987934
2,1,5500,100,0.6,1994.0,5944.61,1444.1789078573333
2,1,6000,100,0.6,2315.0,5627.96,1486.9925683741665
2,1,6500,100,0.6,2455.0,5528.67,1640.2485790574547
2,1,7000,100,0.6,2685.0,5975.72,1546.3975237952238
2,1,7500,100,0.6,2265.0,5564.04,1664.6138886840995
2,1,8000,100,0.6,2628.0,5850.6,1595.7006674185482
2,1,8500,100,0.6,1628.0,5644.94,1505.1563162675166
2,1,9000,100,0.6,2538.0,5442.09,1583.0003101389464
2,1,9500,100,0.6,2739.0,5817.64,1401.891861164762
2,1,10000,100,0.6,2540.0,5577.37,1390.4282480948093
2,2,0,100,0.6,2425.0,6128.36,1649.4137111107084
2,2,500,100,0.6,3312.0,6012.83,1373.727651719947
2,2,1000,100,0.6,2586.0,6310.57,1484.5241544346793
2,2,1500,100,0.6,2766.0,5980.4,1632.5351144768679
2,2,2000,100,0.6,3503.0,6090.33,1344.6555771274666
2,2,2500,100,0.6,3023.0,5944.69,1663.3311317654102
2,2,3000,100,0.6,2474.0,6032.41,1688.0725286254735
2,2,3500,100,0.6,2845.0,5832.93,1473.2698819632471
2,2,4000,100,0.6,3006.0,6048.64,1450.1324113335306
2,2,4500,100,0.6,2915.0,5784.35,1365.1164373415186
2,2,5000,100,0.6,3129.0,5976.03,1436.913319967492
