Experiment_Set,Run_Number,Iteration,p,e,Best_Fitness,Average_Fitness,Standard_Deviation
1,0,0,100,0.9,499861.0,784029.21,122544.84853244913
1,0,500,100,0.9,492879.0,774366.525,123240.59102555
1,0,1000,100,0.9,608945.5,792640.865,100095.1215632624
1,0,1500,100,0.9,509530.5,773898.7,108712.36595983457
1,0,2000,100,0.9,509977.5,786648.18,112365.21887711785
1,0,2500,100,0.9,559801.5,767182.25,101107.50827696972
1,0,3000,100,0.9,486812.5,769440.125,106970.01239591344
1,0,3500,100,0.9,567064.0,772777.545,108502.3006358182
1,0,4000,100,0.9,516426.0,795823.565,130095.31635750104
1,0,4500,100,0.9,533848.0,774470.25,104260.83714287211
1,0,5000,100,0.9,519053.0,806803.46,119737.30510456378
1,0,5500,100,0.9,530997.5,792938.94,118506.32603096089
1,0,6000,100,0.9,550690.5,766170.82,99923.83268486352
1,0,6500,100,0.9,563470.0,789009.58,101493.87675285441
1,0,7000,100,0.9,529304.5,775034.955,117852.71714322276
1,0,7500,100,0.9,597852.5,795572.51,111012.39493844775
1,0,8000,100,0.9,543290.0,801316.455,115611.35912528436
1,0,8500,100,0.9,592079.0,789601.89,103361.94833072225
1,0,9000,100,0.9,535551.0,794503.85,118051.91678351733
1,0,9500,100,0.9,545756.0,766904.655,105337.1404048139
1,0,10000,100,0.9,556930.0,784721.64,118806.54251252495
1,1,0,100,0.9,529753.0,781803.57,112507.37267546113
1,1,500,100,0.9,537118.5,792595.355,139151.99458739883
1,1,1000,100,0.9,590903.5,776572.975,108361.51688310235
1,1,1500,100,0.9,531180.0,765946.025,110721.20368769423
1,1,2000,100,0.9,545288.0,766060.59,112901.25122265873
1,1,2500,100,0.9,530995.5,777423.095,111331.23886299152
1,1,3000,100,0.9,556521.5,781029.435,112307.47029923378
1,1,3500,100,0.9,601243.5,796617.665,142206.50890096513
1,1,4000,100,0.9,597987.0,800040.15,110407.68852667145
1,1,4500,100,0.9,553222.5,784693.85,110295.23144586758
1,1,5000,100,0.9,541213.5,789069.99,113996.05671199727
1,1,5500,100,0.9,547566.0,777922.81,109522.28019845505
1,1,6000,100,0.9,533690.5,801939.03,120632.21280588408
1,1,6500,100,0.9,514348.5,789307.745,119286.2810967903
1,1,7000,100,0.9,505707.0,781905.575,124802.13420884225
1,1,7500,100,0.9,564337.0,784393.085,115340.53952464102
1,1,8000,100,0.9,530026.5,782954.42,117112.20605049502
1,1,8500,100,0.9,567315.5,795863.64,121624.04030850728
1,1,9000,100,0.9,550923.5,754746.565,102764.1297925413
1,1,9500,100,0.9,569712.0,791179.01,101212.58079863343
1,1,10000,100,0.9,577133.0,781175.32,107584.77912324588
1,2,0,100,0.9,558728.0,800317.585,125029.36390538534
1,2,500,100,0.9,517861.0,773108.47,117526.23437790007
1,2,1000,100,0.9,517191.5,773082.57,119730.16632060653
1,2,1500,100,0.9,523369.0,780164.005,122818.55092300786
1,2,2000,100,0.9,527958.0,787909.415,101308.21730200504
1,2,2500,100,0.9,569945.0,803021.285,97699.21736035695
1,2,3000,100,0.9,496589.0,776141.075,119597.6249039749
1,2,3500,100,0.9,523927.0,787454.97,108131.68125588403
1,2,4000,100,0.9,553504.0,771884.455,111300.36154045265
1,2,4500,100,0.9,588982.0,811156.865,119783.29078312332
1,2,5000,100,0.9,560121.5,775661.26,110534.18967580756
1,2,5500,100,0.9,508915.0,786238.425,119560.21125391958
1,2,6000,100,0.9,553092.0,780884.575,119721.69738293838
1,2,6500,100,0.9,491105.5,779499.145,107028.11550502268
1,2,7000,100,0.9,571016.5,787720.335,114299.34441669067
1,2,7500,100,0.9,522688.5,789122.665,127182.68594148448
1,2,8000,100,0.9,527178.5,766728.22,108730.87065636694
1,2,8500,100,0.9,542187.0,786140.635,114600.28009952365
1,2,9000,100,0.9,525960.5,802848.315,134001.61119706088
1,2,9500,100,0.9,521772.5,769368.245,106498.75615964946
1,2,10000,100,0.9,546819.0,791496.98,114207.8913194688
1,3,0,100,0.9,546869.0,775572.325,109711.94597892188
1,3,500,100,0.9,572250.0,774129.885,111563.58841129248
1,3,1000,100,0.9,603706.5,789645.465,114732.35901654456
1,3,1500,100,0.9,573219.5,779973.535,122232.78638256708
1,3,2000,100,0.9,573598.0,784614.035,107149.2230805771
1,3,2500,100,0.9,503285.0,778747.54,112865.16634258065
1,3,3000,100,0.9,559244.0,778041.505,114185.56032680962
1,3,3500,100,0.9,571586.5,813705.51,136276.5912264645
1,3,4000,100,0.9,551466.5,763785.105,107677.44945719355
1,3,4500,100,0.9,554894.0,765452.42,98254.88931770062
1,3,5000,100,0.9,584526.5,787331.955,113269.15616120072
1,3,5500,100,0.9,521941.5,766427.99,109700.19402936305
1,3,6000,100,0.9,542941.0,779251.97,110773.34607665827
1,3,6500,100,0.9,470475.5,799229.595,123230.55590298405
1,3,7000,100,0.9,534498.0,776847.55,113762.94175739963
1,3,7500,100,0.9,544626.5,781234.245,110395.17602061457
1,3,8000,100,0.9,506901.0,766235.795,105046.35247442186
1,3,8500,100,0.9,521761.0,783561.18,110976.51972751983
1,3,9000,100,0.9,493436.5,781925.785,123063.67163788133
1,3,9500,100,0.9,509261.0,792534.94,108185.53990419144
1,3,10000,100,0.9,560641.0,819455.285,120953.05772592635
1,4,0,100,0.9,536232.0,778280.68,112703.63403423423
1,4,500,100,0.9,503487.5,771762.9,122341.73700669367
1,4,1000,100,0.9,580017.5,801206.51,123183.78223361995
1,4,1500,100,0.9,576472.0,802536.97,109437.77386455328
1,4,2000,100,0.9,517377.5,786153.85,118783.45924928901
1,4,2500,100,0.9,563778.0,795932.925,107499.38508269185
1,4,3000,100,0.9,554085.0,783952.405,133922.09940302413
1,4,3500,100,0.9,527600.0,781927.305,116130.20078306277
1,4,4000,100,0.9,541663.0,789710.59,118501.1010624665
1,4,4500,100,0.9,592416.0,790932.27,119863.23679282193
1,4,5000,100,0.9,552025.5,778611.005,120314.46441325113
1,4,5500,100,0.9,620102.0,810031.19,106230.46401060715
1,4,6000,100,0.9,553749.0,794679.21,109525.04383023958
1,4,6500,100,0.9,534957.5,776371.405,115431.15839894996
1,4,7000,100,0.9,586236.0,794760.81,114014.58758040087
1,4,7500,100,0.9,540114.5,792557.785,127273.15793695966
1,4,8000,100,0.9,548241.5,791371.99,118417.04340404256
1,4,8500,100,0.9,521189.5,771736.655,112298.06281173544
1,4,9000,100,0.9,519130.5,774960.15,111469.857171042
1,4,9500,100,0.9,567324.0,795127.58,111178.32063947359
1,4,10000,100,0.9,507632.0,773089.945,123757.45199370613
2,0,0,100,0.6,499861.0,784029.21,122544.84853244913
2,0,500,100,0.6,492879.0,773074.01,123081.00373051035
2,0,1000,100,0.6,607382.0,796112.47,102261.34750480799
2,0,1500,100,0.6,494447.0,784895.08,110320.42642363923
2,0,2000,100,0.6,587434.0,779959.135,105348.6554933155
2,0,2500,100,0.6,504568.5,790053.3,116090.14018561182
2,0,3000,100,0.6,560932.5,795434.17,120667.55718947864
2,0,3500,100,0.6,552832.0,767858.5,109509.59799761846
2,0,4000,100,0.6,559505.0,790011.065,120079.66306424778
2,0,4500,100,0.6,574416.0,775430.965,106701.48007261321
2,0,5000,100,0.6,543516.5,763487.515,112408.88979788154
2,0,5500,100,0.6,545985.0,762831.975,110064.91897428935
